
Schematic Net Listing
-------------------------------- -------------------------------- --- --- --- --- --- ---- --- - -------------------- ---
Part                             Reference                        Sym Sub Pin Eqv Sub Pin  Pin Phantom    Net         Net
Number                           Designator                       Num Typ Id  Cls Pak Text Num Flag       Name        Num
-------------------------------- -------------------------------- --- --- --- --- --- ---- --- - -------------------- ---
FAN3100TSX                       DA784                            393   1   1   1   1 3      3 0 VM.6R               7749633
FAN3100TSX                       DA784                            393   1   2   2   1 4      4 0 XSIG012182          6504449
FAN3100TSX                       DA784                            393   1   3   3   1 5      5 0 XSIG012084          6266881
FAN3100TSX                       DA784                            393   1   4   4   1 1      1 0 VM.6R               7749633
FAN3100TSX                       DA784                            393   2   1   1   2 2      2 0 GND                 8224769
FAN3100TSX                       DA785                            392   1   1   1   1 3      3 0 XSIG012859          8396801
FAN3100TSX                       DA785                            392   1   2   2   1 4      4 0 GND                 8224769
FAN3100TSX                       DA785                            392   1   3   3   1 5      5 0 XSIG012099          6307841
FAN3100TSX                       DA785                            392   1   4   4   1 1      1 0 VM.6R               7749633
FAN3100TSX                       DA785                            392   2   1   1   2 2      2 0 GND                 8224769
FAN3100TSX                       DA786                            391   1   1   1   1 3      3 0 VM.6R               7749633
FAN3100TSX                       DA786                            391   1   2   2   1 4      4 0 XSIG012180          6496257
FAN3100TSX                       DA786                            391   1   3   3   1 5      5 0 XSIG012097          6299649
FAN3100TSX                       DA786                            391   1   4   4   1 1      1 0 VM.6R               7749633
FAN3100TSX                       DA786                            391   2   1   1   2 2      2 0 GND                 8224769
FPF2101                          DA204                            263   1   1   1   1 4      4 0                        0
FPF2101                          DA204                            263   1   2   2   1 3      3 0 GND                 8224769
FPF2101                          DA204                            263   1   3   3   1 5      5 0 V_MPU.1             8282113
FPF2101                          DA204                            263   2   1   1   2 1      1 0 XSIG011367          4034561
FPF2101                          DA204                            263   3   1   1   3 2      2 0 GND                 8224769
FPF2101                          DA205                            257   1   1   1   1 4      4 0                        0
FPF2101                          DA205                            257   1   2   2   1 3      3 0 CAN_EN.1            8245249
FPF2101                          DA205                            257   1   3   3   1 5      5 0 V_CAN.1             7372801
FPF2101                          DA205                            257   2   1   1   2 1      1 0 XSIG011367          4034561
FPF2101                          DA205                            257   3   1   1   3 2      2 0 GND                 8224769
FPF2101                          DA304                            264   1   1   1   1 4      4 0                        0
FPF2101                          DA304                            264   1   2   2   1 3      3 0 GND                 8224769
FPF2101                          DA304                            264   1   3   3   1 5      5 0 V_MPU.2             8290305
FPF2101                          DA304                            264   2   1   1   2 1      1 0 XSIG011309          3850241
FPF2101                          DA304                            264   3   1   1   3 2      2 0 GND                 8224769
FPF2101                          DA305                            258   1   1   1   1 4      4 0                        0
FPF2101                          DA305                            258   1   2   2   1 3      3 0 CAN_EN.2            8261633
FPF2101                          DA305                            258   1   3   3   1 5      5 0 V_CAN.2             7577601
FPF2101                          DA305                            258   2   1   1   2 1      1 0 XSIG011309          3850241
FPF2101                          DA305                            258   3   1   1   3 2      2 0 GND                 8224769
FPF2101                          DA404                            265   1   1   1   1 4      4 0                        0
Schematic Net Listing
-------------------------------- -------------------------------- --- --- --- --- --- ---- --- - -------------------- ---
Part                             Reference                        Sym Sub Pin Eqv Sub Pin  Pin Phantom    Net         Net
Number                           Designator                       Num Typ Id  Cls Pak Text Num Flag       Name        Num
-------------------------------- -------------------------------- --- --- --- --- --- ---- --- - -------------------- ---
FPF2101                          DA404                            265   1   2   2   1 3      3 0 GND                 8224769
FPF2101                          DA404                            265   1   3   3   1 5      5 0 V_MPU.3             8298497
FPF2101                          DA404                            265   2   1   1   2 1      1 0 XSIG011249          3665921
